from_node_id,to_node_id,maxspeed,length,speed_kph,travel_time,bearing,geometry,highway_type,out_degree,in_degree,lanes
19,18,0,29.195,48.6,2.2,280.0,"LINESTRING (-8.6109422 41.1478426, -8.611113 41.1478667, -8.6112856 41.147888)",4,2,2,2
19,51,50,156.672,50.0,11.3,15.3,"LINESTRING (-8.6109422 41.1478426, -8.610937399999999 41.147861, -8.6108812 41.1480789, -8.6108186 41.1482966, -8.610699 41.1486454, -8.6106718 41.1487177, -8.6106307 41.148827, -8.6105476 41.1490134, -8.610449600000001 41.1491992)",4,2,2,3
19,4879,50,24.314,50.0,1.8,188.0,"LINESTRING (-8.6109422 41.1478426, -8.6109528 41.1477753, -8.610982699999999 41.1476261)",4,2,2,3
20,2979,0,102.712,44.4,8.3,48.3,"LINESTRING (-8.6121386 41.1488008, -8.612018600000001 41.1488771, -8.6113857 41.1493065, -8.6112234 41.1494158)",3,1,2,2
21,3736,50,120.637,50.0,8.7,180.8,"LINESTRING (-8.612186100000001 41.1471763, -8.612206799999999 41.1460915)",3,1,2,0
21,22,0,107.291,44.4,8.7,292.7,"LINESTRING (-8.612186100000001 41.1471763, -8.612215300000001 41.1471899, -8.6133682 41.1475478)",3,1,2,0
22,2523,0,84.355,44.4,6.8,13.9,"LINESTRING (-8.6133682 41.1475478, -8.6131662 41.1479536, -8.6131551 41.1480043, -8.613140599999999 41.1481507, -8.613128 41.1482774)",3,2,3,0
23,24,0,108.856,46.2,8.5,352.2,"LINESTRING (-8.6210997 41.1507093, -8.6212407 41.1514693, -8.6212608 41.1515703, -8.621276699999999 41.1516791)",5,2,2,2
23,25,0,172.488,44.4,14.0,251.6,"LINESTRING (-8.6210997 41.1507093, -8.621184400000001 41.1506908, -8.6230542 41.1502192)",3,2,2,0
24,35,0,113.207,46.2,8.8,22.9,"LINESTRING (-8.621276699999999 41.1516791, -8.6207584 41.1525043, -8.620752100000001 41.1525281, -8.620748900000001 41.1525519, -8.6207549 41.1526088)",5,3,2,0
24,28,0,192.009,44.4,15.6,234.4,"LINESTRING (-8.621276699999999 41.1516791, -8.6213788 41.1516198, -8.6231422 41.1506749)",3,1,2,0
25,26,0,95.325,44.4,7.7,173.5,"LINESTRING (-8.6230542 41.1502192, -8.6229257 41.1493674)",3,2,2,0
25,2547,0,74.55,44.4,6.0,259.3,"LINESTRING (-8.6230542 41.1502192, -8.623377100000001 41.1501535, -8.6237067 41.1500785, -8.6237633 41.1500675, -8.623819900000001 41.1500646, -8.6238659 41.1500779, -8.6239048 41.1500979)",3,2,2,0
26,27,0,174.403,44.4,14.1,79.9,"LINESTRING (-8.6229257 41.1493674, -8.6208752 41.1496431)",3,1,1,0
26,36,0,178.873,44.4,14.5,173.0,"LINESTRING (-8.6229257 41.1493674, -8.622676 41.1478461, -8.6226637 41.1477709)",3,2,1,0
27,23,0,120.037,46.2,9.4,351.0,"LINESTRING (-8.6208752 41.1496431, -8.620947900000001 41.1499897, -8.621083799999999 41.1506352, -8.6210997 41.1507093)",5,2,3,0
28,25,0,51.204,44.4,4.2,171.7,"LINESTRING (-8.6231422 41.1506749, -8.6230542 41.1502192)",3,2,2,0
29,30,0,29.393,44.4,2.4,161.5,"LINESTRING (-8.618031200000001 41.1524873, -8.6179199 41.1522366)",3,1,2,0
29,33,0,374.011,44.4,30.3,83.4,"LINESTRING (-8.618031200000001 41.1524873, -8.6169171 41.1525907, -8.6157974 41.152686, -8.6157255 41.1526925, -8.615706299999999 41.1526941, -8.6136433 41.1528699, -8.6135935 41.1528719)",3,2,2,0
30,23,0,385.529,44.4,31.3,237.5,"LINESTRING (-8.6179199 41.1522366, -8.617639799999999 41.1516719, -8.6176031 41.1515875, -8.6185977 41.1513402, -8.6206949 41.1508049, -8.6209805 41.1507387, -8.6210997 41.1507093)",3,2,2,2
31,32,0,480.519,48.6,35.6,103.9,"LINESTRING (-8.6188807 41.1551988, -8.6188106 41.1551843, -8.616679599999999 41.1547905, -8.6152379 41.154528, -8.614015999999999 41.1543025, -8.613442900000001 41.1541917, -8.6133083 41.1541642)",4,1,2,2
31,4566,30,23.911,30.0,2.9,199.6,"LINESTRING (-8.6188807 41.1551988, -8.618900200000001 41.155124, -8.618975799999999 41.1549974)",3,1,2,0
32,34,0,48.629,48.6,3.6,174.1,"LINESTRING (-8.6133083 41.1541642, -8.6133246 41.1538652, -8.613316299999999 41.1538177, -8.6133019 41.1537926, -8.6132822 41.1537694, -8.613250499999999 41.1537434)",4,2,2,4
33,29,0,374.011,44.4,30.3,263.4,"LINESTRING (-8.6135935 41.1528719, -8.6136433 41.1528699, -8.615706299999999 41.1526941, -8.6157255 41.1526925, -8.6157974 41.152686, -8.6169171 41.1525907, -8.618031200000001 41.1524873)",3,2,2,0
33,34,0,105.217,44.4,8.5,16.5,"LINESTRING (-8.6135935 41.1528719, -8.613493099999999 41.1533425, -8.6134258 41.1536347, -8.613357199999999 41.1536944, -8.613250499999999 41.1537434)",3,2,2,2
34,2292,0,106.566,48.6,7.9,84.3,"LINESTRING (-8.613250499999999 41.1537434, -8.613174799999999 41.1537511, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.612216800000001 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.612025300000001 41.1538357)",4,1,2,2
34,16,0,110.236,48.6,8.2,98.8,"LINESTRING (-8.613250499999999 41.1537434, -8.613220500000001 41.1537042, -8.613200000000001 41.1536912, -8.613165 41.1536741, -8.6131327 41.1536626, -8.613088899999999 41.1536532, -8.613043299999999 41.153649, -8.6121499 41.153643, -8.612073199999999 41.1536293, -8.6119957 41.153597)",4,2,2,3
35,24,0,113.207,46.2,8.8,202.9,"LINESTRING (-8.6207549 41.1526088, -8.620748900000001 41.1525519, -8.620752100000001 41.1525281, -8.6207584 41.1525043, -8.621276699999999 41.1516791)",5,2,3,0
35,4399,0,249.655,46.2,19.5,356.3,"LINESTRING (-8.6207549 41.1526088, -8.6208223 41.152769, -8.6210121 41.1533068, -8.6210314 41.1533685, -8.621041699999999 41.1534427, -8.621045199999999 41.1535866, -8.620943499999999 41.154823)",5,3,3,2
35,30,0,240.946,44.4,19.5,99.9,"LINESTRING (-8.6207549 41.1526088, -8.6206788 41.1525973, -8.619275200000001 41.1524145, -8.6179199 41.1522366)",3,1,3,0
36,361,50,135.538,50.0,9.8,290.6,"LINESTRING (-8.6226637 41.1477709, -8.622826999999999 41.1478204, -8.623703900000001 41.1480652, -8.624069199999999 41.1481681, -8.6241792 41.1481991)",4,3,3,2
36,3209,"['30', '50']",73.164,40.0,6.6,109.0,"LINESTRING (-8.6226637 41.1477709, -8.622604900000001 41.1477564, -8.622490300000001 41.1477282, -8.6221516 41.1476373, -8.6220608 41.1476127, -8.6218374 41.1475571)",4,2,3,0
37,3444,30,26.365,30.0,3.2,192.7,"LINESTRING (-8.620351400000001 41.1474495, -8.6204003 41.1473455, -8.6204201 41.1472196)",4,1,1,2
37,2985,30,26.373,30.0,3.2,248.4,"LINESTRING (-8.620351400000001 41.1474495, -8.6204237 41.147415, -8.620512 41.1473904, -8.620642200000001 41.1473629)",4,2,1,1
38,14,0,86.163,44.4,7.0,8.8,"LINESTRING (-8.614963899999999 41.1491595, -8.614931199999999 41.14934, -8.614841 41.1496608, -8.614815 41.1498424, -8.6148113 41.1498726, -8.6148066 41.1499243)",3,1,2,0
39,38,0,84.239,44.4,6.8,40.8,"LINESTRING (-8.6156082 41.1485969, -8.615381299999999 41.1487505, -8.6151135 41.1489304, -8.6150232 41.1490299, -8.614963899999999 41.1491595)",3,1,1,0
39,2984,0,132.715,44.4,10.8,220.4,"LINESTRING (-8.6156082 41.1485969, -8.6155863 41.1486503, -8.615587 41.1486798, -8.6155908 41.1487059, -8.6156627 41.1487981, -8.6156916 41.1488194, -8.6157319 41.148837, -8.6157734 41.1488438, -8.615881699999999 41.148835, -8.616130200000001 41.1488108, -8.6161508 41.1488042, -8.6161695 41.148794, -8.616183299999999 41.1487774, -8.616193300000001 41.1487613, -8.6161958 41.1487349, -8.6161446 41.1486053, -8.616025799999999 41.1483049, -8.6160034 41.1482473)",3,2,1,0
40,1519,0,100.89,44.4,8.2,97.8,"LINESTRING (-8.624071900000001 41.1529176, -8.622878099999999 41.1527941)",3,1,1,0
40,2535,0,47.674,44.4,3.9,310.0,"LINESTRING (-8.624071900000001 41.1529176, -8.624203400000001 41.1530165, -8.624507400000001 41.1531926)",3,2,1,0
41,4709,0,106.283,48.6,7.9,180.4,"LINESTRING (-8.610047700000001 41.1551976, -8.610049500000001 41.1551215, -8.610056399999999 41.1542737, -8.610056699999999 41.1542418)",4,3,3,3
41,4565,0,155.872,44.4,12.6,271.0,"LINESTRING (-8.610047700000001 41.1551976, -8.611722800000001 41.1552195, -8.6118355 41.1552212, -8.611872399999999 41.1552217, -8.611909199999999 41.1552219)",3,1,3,0
41,2338,0,51.326,48.6,3.8,0.9,"LINESTRING (-8.610047700000001 41.1551976, -8.6100485 41.1552694, -8.610037999999999 41.1556591)",4,2,3,3
42,3620,0,160.78,48.6,11.9,202.5,"LINESTRING (-8.6101425 41.1518487, -8.6102145 41.1517548, -8.6105064 41.1513742, -8.6107099 41.1511088, -8.6108238 41.1509605, -8.6108654 41.1509028, -8.6108859 41.1508229, -8.610882800000001 41.150737, -8.6108577 41.1505507)",4,2,3,3
43,3378,50,102.957,50.0,7.4,201.9,"LINESTRING (-8.6067219 41.1509597, -8.6067727 41.1508603, -8.6068677 41.1506833, -8.6071279 41.1501986, -8.6071805 41.1501006)",4,4,3,2
43,3380,50,138.499,50.0,10.0,23.9,"LINESTRING (-8.6067219 41.1509597, -8.6066521 41.1510744, -8.606188100000001 41.1518636, -8.6060991 41.1520153, -8.606050700000001 41.1520981)",4,2,3,2
44,4697,0,80.424,44.4,6.5,197.1,"LINESTRING (-8.607389400000001 41.1511073, -8.607671399999999 41.1504159)",3,2,2,2
44,43,0,58.464,44.4,4.7,106.4,"LINESTRING (-8.607389400000001 41.1511073, -8.6072799 41.1510749, -8.606948600000001 41.1509947, -8.606859200000001 41.150972, -8.6067219 41.1509597)",3,2,2,2
45,46,0,101.356,48.6,7.5,286.4,"LINESTRING (-8.607749800000001 41.1502271, -8.6088617 41.1504737, -8.6089109 41.1504849)",4,2,2,1
46,47,0,56.049,44.4,4.5,230.0,"LINESTRING (-8.6089109 41.1504849, -8.6089714 41.150449, -8.6093946 41.1501979, -8.609420800000001 41.1501627)",3,1,2,0
46,50,0,106.439,48.6,7.9,297.2,"LINESTRING (-8.6089109 41.1504849, -8.609093700000001 41.1505322, -8.609523599999999 41.1506438, -8.6096418 41.1506739, -8.6098386 41.1507215, -8.6099174 41.1507614, -8.6099602 41.1508241, -8.6099839 41.1508997)",4,1,2,1
47,2455,0,114.707,44.4,9.3,182.8,"LINESTRING (-8.609420800000001 41.1501627, -8.6094343 41.1501003, -8.609439699999999 41.1500752, -8.6094945 41.1498231, -8.6095168 41.1496437, -8.6095185 41.1494714, -8.6095168 41.1493758, -8.609499899999999 41.1492167, -8.6094974 41.1492013, -8.609491200000001 41.1491623, -8.6094872 41.1491375)",3,2,2,0
48,43,0,207.181,46.2,16.1,270.5,"LINESTRING (-8.6042501 41.1509449, -8.604809100000001 41.15095, -8.6053649 41.1509574, -8.605781500000001 41.1509683, -8.606219100000001 41.1509753, -8.606543 41.1509805, -8.606551100000001 41.1509797, -8.6067219 41.1509597)",5,2,2,2
48,49,0,172.689,46.2,13.5,176.1,"LINESTRING (-8.6042501 41.1509449, -8.6041872 41.1502245, -8.604153200000001 41.1498473, -8.604109299999999 41.1493955)",5,2,2,0
49,60,0,81.548,48.6,6.0,105.6,"LINESTRING (-8.604109299999999 41.1493955, -8.604006399999999 41.1493719, -8.6031713 41.1491982)",4,1,2,0
49,377,0,196.165,46.2,15.3,175.6,"LINESTRING (-8.604109299999999 41.1493955, -8.604097700000001 41.1493117, -8.6040451 41.1487785, -8.603996799999999 41.1483147, -8.603940700000001 41.1477338, -8.603931299999999 41.1476365)",5,2,2,0
50,1432,0,100.899,48.6,7.5,18.5,"LINESTRING (-8.6099839 41.1508997, -8.6099201 41.1509707, -8.6096217 41.1513031, -8.609560800000001 41.151371, -8.609535599999999 41.151399, -8.6095047 41.1514421, -8.609497899999999 41.1514773, -8.6095085 41.1515216, -8.609534200000001 41.1515651, -8.6096448 41.1516617)",4,2,2,4
51,3654,50,14.884,50.0,1.1,106.3,"LINESTRING (-8.610449600000001 41.1491992, -8.610279 41.1491616)",5,3,3,2
51,3435,0,163.209,48.6,12.1,6.3,"LINESTRING (-8.610449600000001 41.1491992, -8.610414 41.1492612, -8.6102387 41.1495666, -8.610215699999999 41.1496493, -8.6102062 41.1497297, -8.6102115 41.1498128, -8.610236 41.1499034, -8.6103431 41.1502996, -8.610351 41.1503452, -8.610336999999999 41.1504258, -8.6103033 41.1505245, -8.6102434 41.150606)",4,2,3,3
52,55,0,252.475,48.6,18.7,356.7,"LINESTRING (-8.602229700000001 41.1510098, -8.6024055 41.1532765)",4,2,2,2
52,53,0,122.133,46.2,9.5,267.0,"LINESTRING (-8.602229700000001 41.1510098, -8.6023759 41.1510052, -8.603686400000001 41.1509525)",5,2,2,0
53,48,0,47.207,46.2,3.7,269.0,"LINESTRING (-8.603686400000001 41.1509525, -8.6037649 41.1509502, -8.6041726 41.1509462, -8.6042501 41.1509449)",5,2,1,0
53,60,0,199.791,44.4,16.2,167.5,"LINESTRING (-8.603686400000001 41.1509525, -8.603672700000001 41.1509049, -8.603405800000001 41.1499762, -8.603380100000001 41.1498866, -8.6032733 41.149515, -8.6032645 41.1494844, -8.6031973 41.1492755, -8.6031713 41.1491982)",3,1,1,0
54,55,0,93.67,44.4,7.6,89.0,"LINESTRING (-8.6035241 41.1532611, -8.6024055 41.1532765)",3,2,1,0
54,48,0,266.747,46.2,20.8,193.3,"LINESTRING (-8.6035241 41.1532611, -8.6040571 41.1519148, -8.604260200000001 41.1513983, -8.604277099999999 41.1513403, -8.604275299999999 41.1512802, -8.6042577 41.1510038, -8.6042501 41.1509449)",5,2,1,0
55,1009,0,140.929,48.6,10.4,356.3,"LINESTRING (-8.6024055 41.1532765, -8.6025153 41.1545412)",4,2,2,2
55,56,0,135.969,44.4,11.0,90.1,"LINESTRING (-8.6024055 41.1532765, -8.6007815 41.1532733)",3,3,2,0
56,2182,0,141.555,44.4,11.5,8.0,"LINESTRING (-8.6007815 41.1532733, -8.600545800000001 41.1545339)",3,3,1,0
56,68,0,88.942,44.4,7.2,88.4,"LINESTRING (-8.6007815 41.1532733, -8.5998568 41.153294, -8.5997196 41.1532952)",3,2,1,0
56,57,0,249.616,44.4,20.2,186.9,"LINESTRING (-8.6007815 41.1532733, -8.600873999999999 41.1527505, -8.601127399999999 41.1514117, -8.6011448 41.151319, -8.601146099999999 41.1512304, -8.6011443 41.151124, -8.6011373 41.1510477)",3,1,1,0
57,52,0,91.567,46.2,7.1,267.4,"LINESTRING (-8.6011373 41.1510477, -8.6012247 41.1510462, -8.6021102 41.1510164, -8.602229700000001 41.1510098)",5,2,2,0
58,57,0,84.382,46.2,6.6,267.2,"LINESTRING (-8.600130999999999 41.1510849, -8.6002142 41.1510791, -8.6003165 41.151072, -8.600477700000001 41.1510638, -8.6011373 41.1510477)",5,1,1,0
58,298,0,65.407,46.2,5.1,188.1,"LINESTRING (-8.600130999999999 41.1510849, -8.600191000000001 41.1507577, -8.600241499999999 41.1505026)",5,2,1,2
59,52,0,225.829,48.6,16.7,356.9,"LINESTRING (-8.602082899999999 41.1489819, -8.6021532 41.1499717, -8.6021968 41.1505977, -8.602225000000001 41.1509383, -8.602229700000001 41.1510098)",4,2,3,2
60,59,0,94.252,48.6,7.0,104.8,"LINESTRING (-8.6031713 41.1491982, -8.6031168 41.149187, -8.602082899999999 41.1489819)",4,1,3,0
61,59,0,15.265,48.6,1.1,284.3,"LINESTRING (-8.6019062 41.1489481, -8.602082899999999 41.1489819)",4,1,2,0
62,63,0,131.757,48.6,9.8,1.8,"LINESTRING (-8.6047458 41.1536304, -8.604695 41.1548147)",4,2,2,3
62,3212,0,64.721,48.6,4.8,259.9,"LINESTRING (-8.6047458 41.1536304, -8.6047782 41.1535564, -8.604805600000001 41.1535394, -8.604851200000001 41.1535301, -8.605286 41.153536, -8.6054379 41.153538)",4,1,2,3
63,62,0,131.757,48.6,9.8,181.8,"LINESTRING (-8.604695 41.1548147, -8.6047458 41.1536304)",4,2,4,3
63,2017,0,203.676,48.6,15.1,2.1,"LINESTRING (-8.604695 41.1548147, -8.6046934 41.1548856, -8.604603900000001 41.1566451)",4,3,4,0
